,name,distance,mass,radius
141,2MASS J00250365+4759191AB,143,,
142,2MASS J00274197+0503417,236,31,1.44
143,2MASS J00275592+2219328,46.9,,
144,2MASSW J0030300-145033,87.2,54,0.98
145,2MASS J00332386-1521309 [de],131,29,1.43
146,2MASS J00345157+0523050,31,42,0.94
147,2MASS 0036+1821,28.6,42,0.94
148,2MASSW J0045214+163445,57,23,1.62
149,WISEP J004701.06+680352.1 [fr],40,12,1.3
150,2MASS J00501994-3322402 [de],34,40,0.94
151,2MASS J00034227-2822410,,,
152,2MASS J00584253-0651239 [de],96,29,1.43
153,SDSS J000013.54+255418.6 [de],46.1,48,0.99
154,2MASS J08283419-1309198,,,
155,2MASS J00040288-6410358,192,19,1.63
156,LHS 102BC,,,
157,2MASS J00242463-0158201,37.7,79,1.09
158,2MASS J00250365+4759191AB,143,,
159,2MASS J00274197+0503417,236,31,1.44
160,2MASS J00275592+2219328,46.9,,
161,2MASSW J0030300-145033,87.2,54,0.98
162,2MASS J00332386-1521309 [de],131,29,1.43
163,2MASS J00345157+0523050,31,42,0.94
164,2MASS 0036+1821,28.6,42,0.94
165,2MASSW J0045214+163445,57,23,1.62
166,WISEP J004701.06+680352.1 [fr],40,12,1.3
167,2MASS J00501994-3322402 [de],34,40,0.94
168,2MASS J00034227-2822410,,,
169,2MASS J00584253-0651239 [de],96,29,1.43
170,CFBDS J005910.90–011401.3,30,23,
171,SDSS J000013.54+255418.6 [de],46.1,48,0.99
172,2MASS J08283419-1309198,,,
173,2MASS J00040288-6410358,192,19,1.63
174,LHS 102BC,,,
175,2MASS J00242463-0158201,37.7,79,1.09
176,2MASS J00250365+4759191AB,143,,
177,2MASS J00274197+0503417,236,31,1.44
178,2MASS J00275592+2219328,46.9,,
179,2MASSW J0030300-145033,87.2,54,0.98
180,2MASS J00332386-1521309 [de],131,29,1.43
181,2MASS J00345157+0523050,31,42,0.94
182,2MASS 0036+1821,28.6,42,0.94
183,2MASSW J0045214+163445,57,23,1.62
184,WISEP J004701.06+680352.1 [fr],40,12,1.3
185,2MASS J00501994-3322402 [de],34,40,0.94
186,2MASS J00034227-2822410,,,
187,2MASS J00584253-0651239 [de],96,29,1.43
188,CFBDS J005910.90–011401.3,30,23,
189,2MASSI J0103320+193536,70,52,0.98
190,SDSS J000013.54+255418.6 [de],46.1,48,0.99
191,2MASS J08283419-1309198,,,
192,2MASS J00040288-6410358,192,19,1.63
193,LHS 102BC,,,
194,2MASS J00242463-0158201,37.7,79,1.09
195,2MASS J00250365+4759191AB,143,,
196,2MASS J00274197+0503417,236,31,1.44
197,2MASS J00275592+2219328,46.9,,
198,2MASSW J0030300-145033,87.2,54,0.98
199,2MASS J00332386-1521309 [de],131,29,1.43
200,2MASS J00345157+0523050,31,42,0.94
201,2MASS 0036+1821,28.6,42,0.94
202,2MASSW J0045214+163445,57,23,1.62
203,WISEP J004701.06+680352.1 [fr],40,12,1.3
204,2MASS J00501994-3322402 [de],34,40,0.94
205,2MASS J00034227-2822410,,,
206,2MASS J00584253-0651239 [de],96,29,1.43
207,CFBDS J005910.90–011401.3,30,23,
208,2MASSI J0103320+193536,70,52,0.98
209,SDSSp J010752.33+004156.1 [de],51,52,0.98
210,SDSS J000013.54+255418.6 [de],46.1,48,0.99
211,2MASS J08283419-1309198,,,
212,2MASS J00040288-6410358,192,19,1.63
213,LHS 102BC,,,
214,2MASS J00242463-0158201,37.7,79,1.09
215,2MASS J00250365+4759191AB,143,,
216,2MASS J00274197+0503417,236,31,1.44
217,2MASS J00275592+2219328,46.9,,
218,2MASSW J0030300-145033,87.2,54,0.98
219,2MASS J00332386-1521309 [de],131,29,1.43
220,2MASS J00345157+0523050,31,42,0.94
221,2MASS 0036+1821,28.6,42,0.94
222,2MASSW J0045214+163445,57,23,1.62
223,WISEP J004701.06+680352.1 [fr],40,12,1.3
224,2MASS J00501994-3322402 [de],34,40,0.94
225,2MASS J00034227-2822410,,,
226,2MASS J00584253-0651239 [de],96,29,1.43
227,CFBDS J005910.90–011401.3,30,23,
228,2MASSI J0103320+193536,70,52,0.98
229,SDSSp J010752.33+004156.1 [de],51,52,0.98
230,2MASSI J0117474-340325 [de],163,20,1.62
231,SDSS J000013.54+255418.6 [de],46.1,48,0.99
232,2MASS J08283419-1309198,,,
233,2MASS J00040288-6410358,192,19,1.63
234,LHS 102BC,,,
235,2MASS J00242463-0158201,37.7,79,1.09
236,2MASS J00250365+4759191AB,143,,
237,2MASS J00274197+0503417,236,31,1.44
238,2MASS J00275592+2219328,46.9,,
239,2MASSW J0030300-145033,87.2,54,0.98
240,2MASS J00332386-1521309 [de],131,29,1.43
241,2MASS J00345157+0523050,31,42,0.94
242,2MASS 0036+1821,28.6,42,0.94
243,2MASSW J0045214+163445,57,23,1.62
244,WISEP J004701.06+680352.1 [fr],40,12,1.3
245,2MASS J00501994-3322402 [de],34,40,0.94
246,2MASS J00034227-2822410,,,
247,2MASS J00584253-0651239 [de],96,29,1.43
248,CFBDS J005910.90–011401.3,30,23,
249,2MASSI J0103320+193536,70,52,0.98
250,SDSSp J010752.33+004156.1 [de],51,52,0.98
251,2MASSI J0117474-340325 [de],163,20,1.62
252,2MASS J01415823-4633574 [de],130,20,1.61
253,SDSS J000013.54+255418.6 [de],46.1,48,0.99
254,2MASS J08283419-1309198,,,
255,2MASS J00040288-6410358,192,19,1.63
256,LHS 102BC,,,
257,2MASS J00242463-0158201,37.7,79,1.09
258,2MASS J00250365+4759191AB,143,,
259,2MASS J00274197+0503417,236,31,1.44
260,2MASS J00275592+2219328,46.9,,
261,2MASSW J0030300-145033,87.2,54,0.98
262,2MASS J00332386-1521309 [de],131,29,1.43
263,2MASS J00345157+0523050,31,42,0.94
264,2MASS 0036+1821,28.6,42,0.94
265,2MASSW J0045214+163445,57,23,1.62
266,WISEP J004701.06+680352.1 [fr],40,12,1.3
267,2MASS J00501994-3322402 [de],34,40,0.94
268,2MASS J00034227-2822410,,,
269,2MASS J00584253-0651239 [de],96,29,1.43
270,CFBDS J005910.90–011401.3,30,23,
271,2MASSI J0103320+193536,70,52,0.98
272,SDSSp J010752.33+004156.1 [de],51,52,0.98
273,2MASSI J0117474-340325 [de],163,20,1.62
274,2MASS J01415823-4633574 [de],130,20,1.61
275,SDSS J015141.69+124429.6,70,47,0.97
276,SDSS J000013.54+255418.6 [de],46.1,48,0.99
277,2MASS J08283419-1309198,,,
