,name,distance,mass,radius
12628,2MASS J06085283-2753583,102,38,1.51
12629,WISEP J061135.13-041024.0A,69,65,
12630,WISEP J061135.13-041024.0B,69,53,
12631,2MASS J06244595-4521548 [de],39,56,0.99
12632,2MASS J06411840-4322329 [de],65,67,1.01
12633,DENIS-P J0652197-253450 [de],51,75,1.05
12634,2MASS J07003664+3157266 [de],40,,
12635,2MASS J07075327-4900503,60,72,1.03
12636,UGPS J072227.51-054031.2,13.4,26,0.98
12637,2MASSI J0727182+171001 [de],29.6,41,0.94
12638,2MASS J07290002-3954043 [de],25.8,37,0.94
12639,SDSS J074201.41+205520.5 [de],49,43,0.94
12640,2MASS J0746425+200032 [fr],49.6,,
12641,DENIS-P J0751164-253043 [de],55,71,1.03
12642,2MASS J07522390+1612157,60,68,2.01
12643,DENIS J081730.0-615520,16.1,44,0.94
12644,DENIS J082303.1−491201A,67,44,
12645,DENIS J082303.1−491201B,67,28,
12646,2MASS J08251968+2115521 [de],35,52,0.98
12647,SDSSp J083008.12+482847.4 [de],43,48,0.99
12648,LHS 2021,55,88,1.15
12649,SDSS J083048.80+012831.1 [de],77,46,0.96
12650,2MASSI J0835425-081923 [de],23.53,62,1.00
12651,2MASSI J0847287-153237 [de],43,64,1.00
12652,2MASS J08533619-0329321,27.6,77,1.07
12653,2MASSI J0859254-194926 [de],50,50,0.98
12654,2MASSW J0920122+351742 [de],95,,
12655,2MASSI J0937347+293142,20.0,42,0.94
12656,2MASS 0939−2448,17.4,32,0.95
12657,2MASS J09490860-1545485 [de],59,49,0.96
12658,2MASS J10073369-4555147,46,44,0.94
12659,2MASSI J1010148-040649 [de],55,51,0.98
12660,2MASSI J1017075+130839 [de],108,,
12661,SDSS J102109.69-030420.1,95,,
12662,2MASS J10224821+5825453 [de],60,27,1.41
12663,2MASSW J1036530-344138 [de],53,49,0.97
12664,2MASS J1047538+212423 [de],34.4,42,0.94
12665,Luhman 16B,6.516,43,1.02
12666,Luhman 16A,6.516,40,1.01
12667,DENIS-P J1058.7−1548,49,64,1.00
12668,TWA 28,180,36,2.39
12669,Cha 110913-773444,163,8,1.8
12670,OTS 44,554,15,
12671,SDSS J111010.01+011613.1,63,9,1.24
12672,2MASS J11145133−2618235,18.2,33,0.96
12673,TWA 26,137,30,2.20
12674,2MASSW J1146345+223053,89,,
12675,2MASS J11544223-3400390 [de],129,37,1.50
12676,2MASSW J1155395-372735 [de],31,64,1.00
12677,TWA 27A,,,
12678,TWA 27B,,,
12679,2MASS J12074836-3900043,217,17,1.71
12680,2MASSI J1217110-031113 [de],36,42,0.94
12681,2MASS J12255432-2739466,43,,
12682,DENIS-P J1228.2-1547,66,,
12683,2M 1237+6526,45.6,41,0.94
12684,2MASSW J1239272+551537 [de],119,,
12685,TWA 29,262,25,2.00
12686,SDSSp J125453.90-012247.4 [de],38,47,0.98
12687,Kelu-1A,61,63,0.98
12688,Kelu-1B,61,58,0.98
12689,2MASS J13204427+0409045,101,67,1.01
12690,SDSSp J132629.82-003831.5 [de],65,51,0.97
12691,SDSSp J134646.45-003150.4 [de],48,44,0.94
12692,2MASS J13595510-4034582,51,63,1.00
12693,ULAS J141623.94+134836.3,29.7,32,0.96
12694,SDSS J141659.78+500626.4 [de],149,59,0.99
12695,DENIS-P J142527.97-365023.4 [de],38,21,1.32
12696,LHS 2924,38.5,76,1.06
12697,2MASS J14392837+1929150,47,72,1.03
12698,LSPM J1440+1339,72,92,1.19
12699,2MASS J14482563+1031590 [de],47,59,0.99
12700,CFBDSIR 1458+10A,104,11.1,1.5
12701,CFBDSIR 1458+10B,104,9,1.3
12702,TVLM 513-46546,35.1,75,1.05
12703,2MASS 1503+2525,20.7,44,0.94
12704,CFBDS J150411+102717,71,44,0.94
12705,2MASSW J1506544+132106 [de],46,69,1.02
12706,2MASS 1507−1627,23.9,60,0.99
12707,TVLM 868-110639,53,79,1.08
12708,SDSS J151114.66+060742.9 [de],89,,
12709,2MASSW J1515008+484742 [de],34,57,0.99
12710,2MASSI J1526140+204341 [de],67,54,0.98
12711,DENIS-P J153941.96-052042.4 [de],51,63,1.00
12712,2MASS J15462718-3325111 [de],37,44,0.94
12713,2MASSW J1552591+294849 [de],68,30,1.43
12714,2MASSW J1555157-095605 [de],44,71,1.03
12715,2MASS J16150413+1340079 [de],48,42,0.94
12716,SDSSp J162414.37+002915.6 [de],36,43,0.94
12717,2MASS J16262034+3925190 [de],110,71,1.03
12718,2MASSW J1632291+190441 [de],50,49,0.97
12719,WISEPA J164715.59+563208.2,28,41,0.94
12720,SDSS J000013.54+255418.6 [de],46.1,48,0.99
12721,2MASS J08283419-1309198,,,
12722,2MASS J00040288-6410358,192,19,1.63
12723,LHS 102BC,,,
12724,2MASS J00242463-0158201,37.7,79,1.09
12725,2MASS J00250365+4759191AB,143,,
12726,2MASS J00274197+0503417,236,31,1.44
12727,2MASS J00275592+2219328,46.9,,
12728,2MASSW J0030300-145033,87.2,54,0.98
12729,2MASS J00332386-1521309 [de],131,29,1.43
12730,2MASS J00345157+0523050,31,42,0.94
12731,2MASS 0036+1821,28.6,42,0.94
12732,2MASSW J0045214+163445,57,23,1.62
12733,WISEP J004701.06+680352.1 [fr],40,12,1.3
12734,2MASS J00501994-3322402 [de],34,40,0.94
12735,2MASS J00034227-2822410,,,
12736,2MASS J00584253-0651239 [de],96,29,1.43
12737,CFBDS J005910.90–011401.3,30,23,
12738,2MASSI J0103320+193536,70,52,0.98
12739,SDSSp J010752.33+004156.1 [de],51,52,0.98
12740,2MASSI J0117474-340325 [de],163,20,1.62
12741,2MASS J01415823-4633574 [de],130,20,1.61
12742,SDSS J015141.69+124429.6,70,47,0.97
12743,DENIS-P J020529.0−115925A,65,,
12744,DENIS-P J020529.0−115925B,65,,
12745,DENIS-P J020529.0−115925C,65,,
12746,SDSS J020742.48+000056.2 [de],111,47,0.97
12747,2MASS J02103857-3015313,101,15,1.53
12748,2MASS J02340093-6442068,155,20,1.62
12749,2MASS J02411151-0326587 [de],152,27,1.41
12750,2MASS J02431371−2453298,35,33,0.99
12751,LP 771-21,53,78,1.08
12752,2MASS J02511327+0047364,,,
12753,2MASS J02535980+3206373,184,65,1.9
12754,WISE J0254+0223,24,65,1.9
12755,DEN 0255-4700,16.2,80,0.97
12756,2MASS J03185403-3421292 [de],45,49,0.97
12757,2MASS J03205965+1854233,47,88,1.15
12758,2MASS J03231002-4631237,192,23,1.66
12759,SDSS J032553.17+042540.1,59,45,0.95
12760,2MASS J03264225-2102057 [de],80,18,1.3
12761,2MASS J03284265+2302051 [de],98,54,0.98
12762,2MASS J03341218-4953322,27.0,73,1.04
12763,LP 944-20,20.9,73,1.43
12764,2MASP J0345432+254023,88,74,1.05
12765,Teide 1,380,55,3.78
12766,2MASS J03510004-0052452,48,102,1.27
12767,2MASS J03552337+1133437,29.8,20,1.32
12768,DENIS-P J035726.9-441730 [de],130,,
12769,2MASS J04151954−0935066,18.6,30,0.95
12770,SDSSp J042348.57-041403.5 [de],50,,
12771,2MASS J04285096-2253227 [de],85,80,1.09
12772,2MASS J04351612-1606574,34,100,1.26
12773,2MASS J04362788-4114465,142,39,1.97
12774,2MASS J04390101-2353083 [de],29.5,48,0.97
12775,2MASS J04414489+2301513,470,19,
12776,2MASS J04433764+0002040,82,22,1.78
12777,2MASS J04455387-3048204 [de],42,64,1.00
12778,2MASS J04510093-3402150 [de],69,72,1.04
12779,2MASS J05002100+0330501 [de],44,64,1.00
12780,2MASS J05012406-0010452 [de],64,21,1.38
12781,2MASS J05160945-0445499 [de],73,47,0.97
12782,2MASS J0523−1403,40,68,1.01
12783,2MASS 0532+8246,81,83,
12784,SDSS J053951.99-005902.0,41.62,61,1.01
12785,2MASS J05591914-1404488 [de],34,,
12786,LSR 0602+3910 [de],34.6,28,1.41
12787,2MASS J06085283-2753583,102,38,1.51
12788,WISEP J061135.13-041024.0A,69,65,
12789,WISEP J061135.13-041024.0B,69,53,
12790,2MASS J06244595-4521548 [de],39,56,0.99
12791,2MASS J06411840-4322329 [de],65,67,1.01
12792,DENIS-P J0652197-253450 [de],51,75,1.05
12793,2MASS J07003664+3157266 [de],40,,
12794,2MASS J07075327-4900503,60,72,1.03
12795,UGPS J072227.51-054031.2,13.4,26,0.98
12796,2MASSI J0727182+171001 [de],29.6,41,0.94
12797,2MASS J07290002-3954043 [de],25.8,37,0.94
12798,SDSS J074201.41+205520.5 [de],49,43,0.94
12799,2MASS J0746425+200032 [fr],49.6,,
12800,DENIS-P J0751164-253043 [de],55,71,1.03
12801,2MASS J07522390+1612157,60,68,2.01
12802,DENIS J081730.0-615520,16.1,44,0.94
12803,DENIS J082303.1−491201A,67,44,
12804,DENIS J082303.1−491201B,67,28,
12805,2MASS J08251968+2115521 [de],35,52,0.98
12806,SDSSp J083008.12+482847.4 [de],43,48,0.99
12807,LHS 2021,55,88,1.15
12808,SDSS J083048.80+012831.1 [de],77,46,0.96
12809,2MASSI J0835425-081923 [de],23.53,62,1.00
12810,2MASSI J0847287-153237 [de],43,64,1.00
12811,2MASS J08533619-0329321,27.6,77,1.07
12812,2MASSI J0859254-194926 [de],50,50,0.98
12813,2MASSW J0920122+351742 [de],95,,
12814,2MASSI J0937347+293142,20.0,42,0.94
12815,2MASS 0939−2448,17.4,32,0.95
12816,2MASS J09490860-1545485 [de],59,49,0.96
12817,2MASS J10073369-4555147,46,44,0.94
12818,2MASSI J1010148-040649 [de],55,51,0.98
12819,2MASSI J1017075+130839 [de],108,,
12820,SDSS J102109.69-030420.1,95,,
12821,2MASS J10224821+5825453 [de],60,27,1.41
12822,2MASSW J1036530-344138 [de],53,49,0.97
12823,2MASS J1047538+212423 [de],34.4,42,0.94
12824,Luhman 16B,6.516,43,1.02
12825,Luhman 16A,6.516,40,1.01
12826,DENIS-P J1058.7−1548,49,64,1.00
12827,TWA 28,180,36,2.39
12828,Cha 110913-773444,163,8,1.8
12829,OTS 44,554,15,
12830,SDSS J111010.01+011613.1,63,9,1.24
12831,2MASS J11145133−2618235,18.2,33,0.96
12832,TWA 26,137,30,2.20
12833,2MASSW J1146345+223053,89,,
12834,2MASS J11544223-3400390 [de],129,37,1.50
12835,2MASSW J1155395-372735 [de],31,64,1.00
12836,TWA 27A,,,
12837,TWA 27B,,,
12838,2MASS J12074836-3900043,217,17,1.71
12839,2MASSI J1217110-031113 [de],36,42,0.94
12840,2MASS J12255432-2739466,43,,
12841,DENIS-P J1228.2-1547,66,,
12842,2M 1237+6526,45.6,41,0.94
12843,2MASSW J1239272+551537 [de],119,,
12844,TWA 29,262,25,2.00
12845,SDSSp J125453.90-012247.4 [de],38,47,0.98
12846,Kelu-1A,61,63,0.98
12847,Kelu-1B,61,58,0.98
12848,2MASS J13204427+0409045,101,67,1.01
12849,SDSSp J132629.82-003831.5 [de],65,51,0.97
12850,SDSSp J134646.45-003150.4 [de],48,44,0.94
12851,2MASS J13595510-4034582,51,63,1.00
12852,ULAS J141623.94+134836.3,29.7,32,0.96
12853,SDSS J141659.78+500626.4 [de],149,59,0.99
12854,DENIS-P J142527.97-365023.4 [de],38,21,1.32
12855,LHS 2924,38.5,76,1.06
12856,2MASS J14392837+1929150,47,72,1.03
12857,LSPM J1440+1339,72,92,1.19
12858,2MASS J14482563+1031590 [de],47,59,0.99
12859,CFBDSIR 1458+10A,104,11.1,1.5
12860,CFBDSIR 1458+10B,104,9,1.3
12861,TVLM 513-46546,35.1,75,1.05
12862,2MASS 1503+2525,20.7,44,0.94
12863,CFBDS J150411+102717,71,44,0.94
12864,2MASSW J1506544+132106 [de],46,69,1.02
12865,2MASS 1507−1627,23.9,60,0.99
12866,TVLM 868-110639,53,79,1.08
12867,SDSS J151114.66+060742.9 [de],89,,
12868,2MASSW J1515008+484742 [de],34,57,0.99
12869,2MASSI J1526140+204341 [de],67,54,0.98
12870,DENIS-P J153941.96-052042.4 [de],51,63,1.00
12871,2MASS J15462718-3325111 [de],37,44,0.94
12872,2MASSW J1552591+294849 [de],68,30,1.43
12873,2MASSW J1555157-095605 [de],44,71,1.03
12874,2MASS J16150413+1340079 [de],48,42,0.94
12875,SDSSp J162414.37+002915.6 [de],36,43,0.94
12876,2MASS J16262034+3925190 [de],110,71,1.03
12877,2MASSW J1632291+190441 [de],50,49,0.97
12878,WISEPA J164715.59+563208.2,28,41,0.94
12879,LSPM J1658+7027 [de],60,73,1.04
12880,SDSS J000013.54+255418.6 [de],46.1,48,0.99
12881,2MASS J08283419-1309198,,,
12882,2MASS J00040288-6410358,192,19,1.63
12883,LHS 102BC,,,
12884,2MASS J00242463-0158201,37.7,79,1.09
12885,2MASS J00250365+4759191AB,143,,
12886,2MASS J00274197+0503417,236,31,1.44
12887,2MASS J00275592+2219328,46.9,,
12888,2MASSW J0030300-145033,87.2,54,0.98
12889,2MASS J00332386-1521309 [de],131,29,1.43
12890,2MASS J00345157+0523050,31,42,0.94
12891,2MASS 0036+1821,28.6,42,0.94
12892,2MASSW J0045214+163445,57,23,1.62
12893,WISEP J004701.06+680352.1 [fr],40,12,1.3
12894,2MASS J00501994-3322402 [de],34,40,0.94
12895,2MASS J00034227-2822410,,,
12896,2MASS J00584253-0651239 [de],96,29,1.43
12897,CFBDS J005910.90–011401.3,30,23,
12898,2MASSI J0103320+193536,70,52,0.98
12899,SDSSp J010752.33+004156.1 [de],51,52,0.98
12900,2MASSI J0117474-340325 [de],163,20,1.62
12901,2MASS J01415823-4633574 [de],130,20,1.61
12902,SDSS J015141.69+124429.6,70,47,0.97
12903,DENIS-P J020529.0−115925A,65,,
12904,DENIS-P J020529.0−115925B,65,,
12905,DENIS-P J020529.0−115925C,65,,
12906,SDSS J020742.48+000056.2 [de],111,47,0.97
12907,2MASS J02103857-3015313,101,15,1.53
12908,2MASS J02340093-6442068,155,20,1.62
12909,2MASS J02411151-0326587 [de],152,27,1.41
12910,2MASS J02431371−2453298,35,33,0.99
12911,LP 771-21,53,78,1.08
12912,2MASS J02511327+0047364,,,
12913,2MASS J02535980+3206373,184,65,1.9
12914,WISE J0254+0223,24,65,1.9
12915,DEN 0255-4700,16.2,80,0.97
12916,2MASS J03185403-3421292 [de],45,49,0.97
12917,2MASS J03205965+1854233,47,88,1.15
12918,2MASS J03231002-4631237,192,23,1.66
12919,SDSS J032553.17+042540.1,59,45,0.95
12920,2MASS J03264225-2102057 [de],80,18,1.3
12921,2MASS J03284265+2302051 [de],98,54,0.98
12922,2MASS J03341218-4953322,27.0,73,1.04
12923,LP 944-20,20.9,73,1.43
12924,2MASP J0345432+254023,88,74,1.05
12925,Teide 1,380,55,3.78
12926,2MASS J03510004-0052452,48,102,1.27
12927,2MASS J03552337+1133437,29.8,20,1.32
12928,DENIS-P J035726.9-441730 [de],130,,
12929,2MASS J04151954−0935066,18.6,30,0.95
12930,SDSSp J042348.57-041403.5 [de],50,,
12931,2MASS J04285096-2253227 [de],85,80,1.09
12932,2MASS J04351612-1606574,34,100,1.26
12933,2MASS J04362788-4114465,142,39,1.97
12934,2MASS J04390101-2353083 [de],29.5,48,0.97
12935,2MASS J04414489+2301513,470,19,
12936,2MASS J04433764+0002040,82,22,1.78
12937,2MASS J04455387-3048204 [de],42,64,1.00
12938,2MASS J04510093-3402150 [de],69,72,1.04
12939,2MASS J05002100+0330501 [de],44,64,1.00
12940,2MASS J05012406-0010452 [de],64,21,1.38
12941,2MASS J05160945-0445499 [de],73,47,0.97
12942,2MASS J0523−1403,40,68,1.01
12943,2MASS 0532+8246,81,83,
12944,SDSS J053951.99-005902.0,41.62,61,1.01
12945,2MASS J05591914-1404488 [de],34,,
12946,LSR 0602+3910 [de],34.6,28,1.41
12947,2MASS J06085283-2753583,102,38,1.51
12948,WISEP J061135.13-041024.0A,69,65,
12949,WISEP J061135.13-041024.0B,69,53,
12950,2MASS J06244595-4521548 [de],39,56,0.99
12951,2MASS J06411840-4322329 [de],65,67,1.01
12952,DENIS-P J0652197-253450 [de],51,75,1.05
12953,2MASS J07003664+3157266 [de],40,,
12954,2MASS J07075327-4900503,60,72,1.03
12955,UGPS J072227.51-054031.2,13.4,26,0.98
12956,2MASSI J0727182+171001 [de],29.6,41,0.94
12957,2MASS J07290002-3954043 [de],25.8,37,0.94
12958,SDSS J074201.41+205520.5 [de],49,43,0.94
12959,2MASS J0746425+200032 [fr],49.6,,
12960,DENIS-P J0751164-253043 [de],55,71,1.03
12961,2MASS J07522390+1612157,60,68,2.01
12962,DENIS J081730.0-615520,16.1,44,0.94
12963,DENIS J082303.1−491201A,67,44,
12964,DENIS J082303.1−491201B,67,28,
12965,2MASS J08251968+2115521 [de],35,52,0.98
12966,SDSSp J083008.12+482847.4 [de],43,48,0.99
12967,LHS 2021,55,88,1.15
12968,SDSS J083048.80+012831.1 [de],77,46,0.96
12969,2MASSI J0835425-081923 [de],23.53,62,1.00
12970,2MASSI J0847287-153237 [de],43,64,1.00
12971,2MASS J08533619-0329321,27.6,77,1.07
12972,2MASSI J0859254-194926 [de],50,50,0.98
12973,2MASSW J0920122+351742 [de],95,,
12974,2MASSI J0937347+293142,20.0,42,0.94
12975,2MASS 0939−2448,17.4,32,0.95
12976,2MASS J09490860-1545485 [de],59,49,0.96
12977,2MASS J10073369-4555147,46,44,0.94
12978,2MASSI J1010148-040649 [de],55,51,0.98
12979,2MASSI J1017075+130839 [de],108,,
12980,SDSS J102109.69-030420.1,95,,
12981,2MASS J10224821+5825453 [de],60,27,1.41
12982,2MASSW J1036530-344138 [de],53,49,0.97
12983,2MASS J1047538+212423 [de],34.4,42,0.94
12984,Luhman 16B,6.516,43,1.02
12985,Luhman 16A,6.516,40,1.01
12986,DENIS-P J1058.7−1548,49,64,1.00
12987,TWA 28,180,36,2.39
12988,Cha 110913-773444,163,8,1.8
12989,OTS 44,554,15,
12990,SDSS J111010.01+011613.1,63,9,1.24
12991,2MASS J11145133−2618235,18.2,33,0.96
12992,TWA 26,137,30,2.20
12993,2MASSW J1146345+223053,89,,
12994,2MASS J11544223-3400390 [de],129,37,1.50
12995,2MASSW J1155395-372735 [de],31,64,1.00
12996,TWA 27A,,,
12997,TWA 27B,,,
12998,2MASS J12074836-3900043,217,17,1.71
12999,2MASSI J1217110-031113 [de],36,42,0.94
13000,2MASS J12255432-2739466,43,,
13001,DENIS-P J1228.2-1547,66,,
13002,2M 1237+6526,45.6,41,0.94
13003,2MASSW J1239272+551537 [de],119,,
13004,TWA 29,262,25,2.00
13005,SDSSp J125453.90-012247.4 [de],38,47,0.98
13006,Kelu-1A,61,63,0.98
13007,Kelu-1B,61,58,0.98
13008,2MASS J13204427+0409045,101,67,1.01
13009,SDSSp J132629.82-003831.5 [de],65,51,0.97
13010,SDSSp J134646.45-003150.4 [de],48,44,0.94
13011,2MASS J13595510-4034582,51,63,1.00
13012,ULAS J141623.94+134836.3,29.7,32,0.96
13013,SDSS J141659.78+500626.4 [de],149,59,0.99
13014,DENIS-P J142527.97-365023.4 [de],38,21,1.32
13015,LHS 2924,38.5,76,1.06
13016,2MASS J14392837+1929150,47,72,1.03
13017,LSPM J1440+1339,72,92,1.19
13018,2MASS J14482563+1031590 [de],47,59,0.99
13019,CFBDSIR 1458+10A,104,11.1,1.5
13020,CFBDSIR 1458+10B,104,9,1.3
13021,TVLM 513-46546,35.1,75,1.05
13022,2MASS 1503+2525,20.7,44,0.94
13023,CFBDS J150411+102717,71,44,0.94
13024,2MASSW J1506544+132106 [de],46,69,1.02
13025,2MASS 1507−1627,23.9,60,0.99
13026,TVLM 868-110639,53,79,1.08
13027,SDSS J151114.66+060742.9 [de],89,,
13028,2MASSW J1515008+484742 [de],34,57,0.99
13029,2MASSI J1526140+204341 [de],67,54,0.98
13030,DENIS-P J153941.96-052042.4 [de],51,63,1.00
13031,2MASS J15462718-3325111 [de],37,44,0.94
13032,2MASSW J1552591+294849 [de],68,30,1.43
13033,2MASSW J1555157-095605 [de],44,71,1.03
13034,2MASS J16150413+1340079 [de],48,42,0.94
13035,SDSSp J162414.37+002915.6 [de],36,43,0.94
13036,2MASS J16262034+3925190 [de],110,71,1.03
13037,2MASSW J1632291+190441 [de],50,49,0.97
13038,WISEPA J164715.59+563208.2,28,41,0.94
13039,LSPM J1658+7027 [de],60,73,1.04
13040,2MASSI J1726000+153819,114,24,1.40
13041,SDSS J000013.54+255418.6 [de],46.1,48,0.99
13042,2MASS J08283419-1309198,,,
13043,2MASS J00040288-6410358,192,19,1.63
13044,LHS 102BC,,,
13045,2MASS J00242463-0158201,37.7,79,1.09
13046,2MASS J00250365+4759191AB,143,,
13047,2MASS J00274197+0503417,236,31,1.44
13048,2MASS J00275592+2219328,46.9,,
13049,2MASSW J0030300-145033,87.2,54,0.98
13050,2MASS J00332386-1521309 [de],131,29,1.43
13051,2MASS J00345157+0523050,31,42,0.94
13052,2MASS 0036+1821,28.6,42,0.94
13053,2MASSW J0045214+163445,57,23,1.62
13054,WISEP J004701.06+680352.1 [fr],40,12,1.3
13055,2MASS J00501994-3322402 [de],34,40,0.94
13056,2MASS J00034227-2822410,,,
13057,2MASS J00584253-0651239 [de],96,29,1.43
13058,CFBDS J005910.90–011401.3,30,23,
13059,2MASSI J0103320+193536,70,52,0.98
13060,SDSSp J010752.33+004156.1 [de],51,52,0.98
13061,2MASSI J0117474-340325 [de],163,20,1.62
13062,2MASS J01415823-4633574 [de],130,20,1.61
13063,SDSS J015141.69+124429.6,70,47,0.97
13064,DENIS-P J020529.0−115925A,65,,
13065,DENIS-P J020529.0−115925B,65,,
13066,DENIS-P J020529.0−115925C,65,,
13067,SDSS J020742.48+000056.2 [de],111,47,0.97
13068,2MASS J02103857-3015313,101,15,1.53
13069,2MASS J02340093-6442068,155,20,1.62
13070,2MASS J02411151-0326587 [de],152,27,1.41
13071,2MASS J02431371−2453298,35,33,0.99
13072,LP 771-21,53,78,1.08
13073,2MASS J02511327+0047364,,,
13074,2MASS J02535980+3206373,184,65,1.9
13075,WISE J0254+0223,24,65,1.9
13076,DEN 0255-4700,16.2,80,0.97
13077,2MASS J03185403-3421292 [de],45,49,0.97
13078,2MASS J03205965+1854233,47,88,1.15
13079,2MASS J03231002-4631237,192,23,1.66
13080,SDSS J032553.17+042540.1,59,45,0.95
13081,2MASS J03264225-2102057 [de],80,18,1.3
13082,2MASS J03284265+2302051 [de],98,54,0.98
13083,2MASS J03341218-4953322,27.0,73,1.04
13084,LP 944-20,20.9,73,1.43
13085,2MASP J0345432+254023,88,74,1.05
13086,Teide 1,380,55,3.78
13087,2MASS J03510004-0052452,48,102,1.27
13088,2MASS J03552337+1133437,29.8,20,1.32
13089,DENIS-P J035726.9-441730 [de],130,,
13090,2MASS J04151954−0935066,18.6,30,0.95
13091,SDSSp J042348.57-041403.5 [de],50,,
13092,2MASS J04285096-2253227 [de],85,80,1.09
13093,2MASS J04351612-1606574,34,100,1.26
13094,2MASS J04362788-4114465,142,39,1.97
13095,2MASS J04390101-2353083 [de],29.5,48,0.97
13096,2MASS J04414489+2301513,470,19,
13097,2MASS J04433764+0002040,82,22,1.78
13098,2MASS J04455387-3048204 [de],42,64,1.00
13099,2MASS J04510093-3402150 [de],69,72,1.04
13100,2MASS J05002100+0330501 [de],44,64,1.00
13101,2MASS J05012406-0010452 [de],64,21,1.38
13102,2MASS J05160945-0445499 [de],73,47,0.97
13103,2MASS J0523−1403,40,68,1.01
13104,2MASS 0532+8246,81,83,
13105,SDSS J053951.99-005902.0,41.62,61,1.01
13106,2MASS J05591914-1404488 [de],34,,
13107,LSR 0602+3910 [de],34.6,28,1.41
13108,2MASS J06085283-2753583,102,38,1.51
13109,WISEP J061135.13-041024.0A,69,65,
13110,WISEP J061135.13-041024.0B,69,53,
13111,2MASS J06244595-4521548 [de],39,56,0.99
13112,2MASS J06411840-4322329 [de],65,67,1.01
13113,DENIS-P J0652197-253450 [de],51,75,1.05
13114,2MASS J07003664+3157266 [de],40,,
13115,2MASS J07075327-4900503,60,72,1.03
13116,UGPS J072227.51-054031.2,13.4,26,0.98
13117,2MASSI J0727182+171001 [de],29.6,41,0.94
13118,2MASS J07290002-3954043 [de],25.8,37,0.94
13119,SDSS J074201.41+205520.5 [de],49,43,0.94
13120,2MASS J0746425+200032 [fr],49.6,,
13121,DENIS-P J0751164-253043 [de],55,71,1.03
13122,2MASS J07522390+1612157,60,68,2.01
13123,DENIS J081730.0-615520,16.1,44,0.94
13124,DENIS J082303.1−491201A,67,44,
13125,DENIS J082303.1−491201B,67,28,
13126,2MASS J08251968+2115521 [de],35,52,0.98
13127,SDSSp J083008.12+482847.4 [de],43,48,0.99
13128,LHS 2021,55,88,1.15
13129,SDSS J083048.80+012831.1 [de],77,46,0.96
13130,2MASSI J0835425-081923 [de],23.53,62,1.00
13131,2MASSI J0847287-153237 [de],43,64,1.00
13132,2MASS J08533619-0329321,27.6,77,1.07
13133,2MASSI J0859254-194926 [de],50,50,0.98
13134,2MASSW J0920122+351742 [de],95,,
13135,2MASSI J0937347+293142,20.0,42,0.94
13136,2MASS 0939−2448,17.4,32,0.95
13137,2MASS J09490860-1545485 [de],59,49,0.96
13138,2MASS J10073369-4555147,46,44,0.94
13139,2MASSI J1010148-040649 [de],55,51,0.98
13140,2MASSI J1017075+130839 [de],108,,
13141,SDSS J102109.69-030420.1,95,,
13142,2MASS J10224821+5825453 [de],60,27,1.41
13143,2MASSW J1036530-344138 [de],53,49,0.97
13144,2MASS J1047538+212423 [de],34.4,42,0.94
13145,Luhman 16B,6.516,43,1.02
13146,Luhman 16A,6.516,40,1.01
13147,DENIS-P J1058.7−1548,49,64,1.00
13148,TWA 28,180,36,2.39
13149,Cha 110913-773444,163,8,1.8
13150,OTS 44,554,15,
13151,SDSS J111010.01+011613.1,63,9,1.24
13152,2MASS J11145133−2618235,18.2,33,0.96
13153,TWA 26,137,30,2.20
13154,2MASSW J1146345+223053,89,,
13155,2MASS J11544223-3400390 [de],129,37,1.50
13156,2MASSW J1155395-372735 [de],31,64,1.00
13157,TWA 27A,,,
13158,TWA 27B,,,
13159,2MASS J12074836-3900043,217,17,1.71
13160,2MASSI J1217110-031113 [de],36,42,0.94
13161,2MASS J12255432-2739466,43,,
13162,DENIS-P J1228.2-1547,66,,
13163,2M 1237+6526,45.6,41,0.94
13164,2MASSW J1239272+551537 [de],119,,
13165,TWA 29,262,25,2.00
13166,SDSSp J125453.90-012247.4 [de],38,47,0.98
13167,Kelu-1A,61,63,0.98
13168,Kelu-1B,61,58,0.98
13169,2MASS J13204427+0409045,101,67,1.01
13170,SDSSp J132629.82-003831.5 [de],65,51,0.97
13171,SDSSp J134646.45-003150.4 [de],48,44,0.94
13172,2MASS J13595510-4034582,51,63,1.00
13173,ULAS J141623.94+134836.3,29.7,32,0.96
13174,SDSS J141659.78+500626.4 [de],149,59,0.99
13175,DENIS-P J142527.97-365023.4 [de],38,21,1.32
13176,LHS 2924,38.5,76,1.06
13177,2MASS J14392837+1929150,47,72,1.03
13178,LSPM J1440+1339,72,92,1.19
13179,2MASS J14482563+1031590 [de],47,59,0.99
13180,CFBDSIR 1458+10A,104,11.1,1.5
13181,CFBDSIR 1458+10B,104,9,1.3
13182,TVLM 513-46546,35.1,75,1.05
13183,2MASS 1503+2525,20.7,44,0.94
13184,CFBDS J150411+102717,71,44,0.94
13185,2MASSW J1506544+132106 [de],46,69,1.02
13186,2MASS 1507−1627,23.9,60,0.99
13187,TVLM 868-110639,53,79,1.08
13188,SDSS J151114.66+060742.9 [de],89,,
13189,2MASSW J1515008+484742 [de],34,57,0.99
13190,2MASSI J1526140+204341 [de],67,54,0.98
13191,DENIS-P J153941.96-052042.4 [de],51,63,1.00
13192,2MASS J15462718-3325111 [de],37,44,0.94
13193,2MASSW J1552591+294849 [de],68,30,1.43
13194,2MASSW J1555157-095605 [de],44,71,1.03
